ticker,company_name,sector,industry,market_type,exchange,price,market_cap,pe_ratio,peg_ratio,pb_ratio,ps_ratio,dividend_yield,beta,profit_margin,operating_margin,roa,roe,ev_to_ebitda,debt_to_equity,current_ratio,revenue_growth_3yr,earnings_growth_3yr,shares_outstanding,avg_return_1yr,volatility_1yr,sharpe_ratio,max_drawdown,esg_score
WFC,WFC Inc.,Financial Services,Asset Management,Large Cap,NASDAQ,322.68,2596.3863559311603,57.26,3.26,5.95,7.13,0.0,0.966380927871438,7.52,13.81,2.79,14.66,23.0,2.23,0.83,14.77,17.55,8046319437,11.09,14.38,0.63,-24.24,70.51
PNC,PNC Corp.,Technology,Cybersecurity,Large Cap,NYSE,548.79,5716.239370435769,81.49,2.57,2.36,12.59,0.0,1.3731532227218,9.05,13.38,4.15,22.13,6.52,0.18,0.81,29.39,31.69,10416077863,11.14,25.38,0.36,-75.77,85.2
TFC,TFC Solutions,Consumer Cyclical,Automotive,Large Cap,NASDAQ,79.63,160.50543780566997,12.08,2.32,7.02,9.79,3.06,0.9807469052069553,24.93,26.83,14.05,25.02,13.99,0.75,1.5,7.29,5.21,2015640309,19.47,17.41,1.0,-44.14,62.28
USB,USB Inc.,Healthcare,Health Insurance,Large Cap,NYSE,611.91,2541.37312338975,79.35,2.59,3.45,9.5,0.0,1.4938849242595662,17.85,20.02,10.24,38.54,19.81,0.65,2.08,28.66,30.67,4153181225,15.73,23.94,0.57,-62.56,89.22
COF,COF Brands,Healthcare,Medical Distribution,Large Cap,NYSE,409.98,3272.44780108266,38.12,1.49,4.97,5.3,1.94,1.4946808180366962,15.63,15.93,6.0,28.45,15.37,0.15,1.56,23.34,25.5,7981969367,10.02,24.79,0.32,-39.0,74.49
JNJ,JNJ Corp.,Technology,Enterprise Software,Large Cap,NASDAQ,327.56,773.0005747478001,35.75,1.21,4.09,5.71,0.0,1.1737402794977676,16.09,17.83,7.3,23.96,14.84,0.78,1.76,28.48,29.54,2359874755,-3.45,15.87,-0.34,-40.97,92.94
PFE,PFE Pharmaceuticals,Materials,Construction Materials,Large Cap,NASDAQ,306.87,1158.3388029964199,13.99,4.18,3.85,2.19,1.19,0.6126177772802729,13.36,15.11,7.34,31.02,16.49,0.37,2.19,4.54,3.35,3774688966,5.77,9.27,0.41,-19.22,42.05
MRK,MRK Energy,Financial Services,Insurance,Large Cap,NYSE,521.59,2235.3811353961305,29.22,3.38,4.12,8.1,1.24,1.3719465219462945,27.31,30.82,13.44,66.57,17.27,1.66,1.51,6.43,8.65,4285705507,-0.56,24.62,-0.1,-64.54,80.94
UNH,UNH Technologies,Technology,Consumer Electronics,Large Cap,NYSE,44.19,385.16459877296995,38.68,3.01,2.8,4.15,0.0,1.3195585714226308,10.51,8.91,2.97,24.3,10.49,0.54,2.2,11.46,12.83,8716103163,2.52,16.05,0.03,-43.85,67.33
ABT,ABT Pharmaceuticals,Technology,Semiconductors,Large Cap,NYSE,626.37,2137.51893535719,38.18,4.42,5.37,8.37,0.0,0.9991533449538303,27.06,24.56,10.32,34.68,18.26,0.13,3.62,10.48,8.64,3412549987,5.36,11.46,0.29,-28.9,83.0
TMO,TMO Pharmaceuticals,Industrial,Industrial Distribution,Large Cap,NASDAQ,121.7,818.810083986,29.4,5.0,3.37,2.02,2.22,0.8520449739435202,15.5,16.66,8.55,29.9,13.81,0.43,1.71,1.34,1.22,6728102580,27.75,16.15,1.59,-25.88,66.97
BMY,BMY Solutions,Utilities,Independent Power Producers,Large Cap,NYSE,263.25,643.64972411025,35.26,4.1,5.13,9.63,4.5,0.6112658501695301,12.79,18.03,4.42,17.0,11.98,2.12,1.53,7.59,8.59,2445013197,6.94,9.23,0.54,-19.5,55.58
ABBV,ABBV Systems,Consumer Defensive,Discount Stores,Large Cap,NASDAQ,304.14,3283.2783406100402,65.8,3.77,2.43,10.12,3.12,1.0462417722133242,10.41,12.64,2.75,10.76,12.65,0.15,1.6,18.68,17.46,10795286186,10.34,12.62,0.66,-25.31,73.77
LLY,LLY Corp.,Healthcare,Healthcare Services,Large Cap,NYSE,462.03,3765.51780991299,-46.47,-21.22,1.54,3.91,1.86,1.1259721896726622,22.7,26.34,11.37,27.27,8.64,1.05,3.0,3.26,2.19,8149942233,-14.32,15.49,-1.05,-25.87,63.49
AMGN,AMGN Group,Technology,Software,Large Cap,NASDAQ,339.27,3580.45068772233,35.28,5.0,2.43,4.47,2.45,1.0285192965254195,7.4,11.9,1.86,12.61,19.72,1.16,1.45,0.23,1.28,10553396079,8.57,15.75,0.42,-38.94,69.55
MDT,MDT Inc.,Industrial,Building Products,Large Cap,NYSE,375.68,1217.14247095232,-46.34,-55.83,2.52,10.0,3.23,0.8449084235028046,9.85,17.62,5.35,16.89,5.21,1.27,1.16,3.81,0.83,3239838349,4.85,12.23,0.23,-28.35,72.83
ISRG,ISRG Holdings,Consumer Defensive,Consumer Packaged Goods,Large Cap,NASDAQ,62.14,497.22073291696,24.44,4.76,7.66,8.72,2.08,0.5113379312898072,28.12,34.08,10.87,44.97,9.64,1.22,1.09,3.15,5.13,8001621064,0.8,8.46,-0.14,-14.82,49.73
CVS,CVS Solutions,Industrial,Waste Management,Large Cap,NASDAQ,496.07,3092.8671736619303,,,8.75,1.94,0.0,0.6920346143338926,6.21,8.88,3.1,11.32,24.22,0.91,1.09,8.98,10.04,6234739399,18.74,10.94,1.53,-25.1,29.4
GILD,GILD Inc.,Energy,Coal,Large Cap,NASDAQ,245.83,789.1244191002901,38.81,2.21,7.45,9.64,3.42,1.936448701637693,12.1,19.49,5.27,30.06,8.68,1.32,2.22,19.48,17.53,3210041163,14.37,34.33,0.36,-96.06,47.38
BIIB,BIIB Holdings,Energy,Oil & Gas Refining,Large Cap,NASDAQ,130.2,877.9902875772,71.94,3.11,3.24,7.66,4.57,0.9122596073410244,4.99,9.4,1.78,7.43,13.12,0.75,2.26,24.91,23.13,6743396986,12.88,9.59,1.13,-14.8,70.04
PG,PG Holdings,Real Estate,Retail REITs,Large Cap,NASDAQ,216.67,1313.24294152674,12.51,4.91,3.11,5.76,2.3,0.929569224495187,8.36,10.26,3.39,13.44,11.35,1.01,0.9,3.42,2.55,6061028022,2.51,16.68,0.03,-27.79,55.86
KO,KO Solutions,Financial Services,Banks,Large Cap,NYSE,80.94,706.8279190229399,30.25,,3.6,9.34,4.24,1.3315681748790282,21.3,29.27,4.93,36.76,14.85,2.88,0.93,-3.36,-5.41,8732739301,27.32,15.48,1.64,-36.87,58.5
PEP,PEP Solutions,Healthcare,Medical Distribution,Large Cap,NYSE,529.77,462.92917974683996,35.81,,2.3,8.46,4.32,1.3608958731379746,27.31,29.76,12.6,33.84,11.55,1.43,3.69,-2.54,-0.96,873830492,4.68,14.58,0.18,-40.47,91.63
WMT,WMT Pharmaceuticals,Consumer Defensive,Discount Stores,Large Cap,NYSE,420.76,2920.29980660188,68.96,2.46,5.36,1.66,3.69,0.4902107982085044,32.19,40.05,17.71,47.73,22.85,1.09,0.91,29.65,28.06,6940535713,3.46,6.06,0.24,-14.59,73.04
COST,COST Brands,Technology,Semiconductors,Large Cap,NYSE,317.89,4585.3511884420095,-40.56,,3.52,4.77,1.86,2.020242206790741,20.57,20.1,6.55,24.87,9.06,1.07,3.63,-7.62,-8.03,14424332909,-16.59,38.95,-0.48,-85.72,66.0
MCD,MCD Holdings,Healthcare,Managed Healthcare,Large Cap,NYSE,241.21,1580.29700102876,39.22,5.0,1.73,5.53,0.7,0.704567272750905,7.56,15.45,4.48,10.77,9.99,0.4,1.38,1.95,2.68,6551540156,5.43,8.21,0.42,-18.3,86.89
NKE,NKE Pharmaceuticals,Real Estate,Industrial REITs,Large Cap,NYSE,125.1,227.703982572,14.17,3.52,4.38,9.18,2.59,0.9816074969890267,21.61,25.13,8.11,44.72,14.6,2.98,1.95,6.35,4.02,1820175720,7.53,14.89,0.37,-38.89,41.86
SBUX,SBUX Technologies,Consumer Defensive,Consumer Packaged Goods,Large Cap,NASDAQ,528.78,4203.105938783639,20.41,5.0,1.36,3.07,4.47,0.5635654188586242,27.81,28.79,7.97,52.99,8.08,0.89,1.62,-1.47,1.32,7948685538,23.43,10.58,2.03,-21.09,62.49
HD,HD Energy,Consumer Cyclical,Luxury Goods,Large Cap,NYSE,86.19,276.89586225444,36.58,5.0,4.06,9.62,2.74,1.0816536871022921,20.81,24.21,9.01,37.91,9.4,0.5,0.91,-0.16,0.61,3212621676,-17.41,15.28,-1.27,-43.85,63.2
TGT,TGT Solutions,Materials,Construction Materials,Large Cap,NYSE,75.19,160.34549402347997,17.65,,5.94,5.2,3.97,0.8463152434178476,22.58,24.45,4.6,37.73,21.96,1.42,1.57,-1.96,-4.53,2132537492,11.43,11.46,0.82,-24.64,42.31
LOW,LOW Corp.,Healthcare,Healthcare Services,Large Cap,NYSE,575.49,1456.7270707330802,75.26,2.98,7.42,7.09,1.24,1.346954445690174,9.28,14.66,2.43,19.18,9.72,0.7,1.94,26.55,25.23,2531281292,35.83,14.41,2.35,-27.65,93.98
DIS,DIS Systems,Technology,Hardware,Large Cap,NASDAQ,179.56,367.69954720244,44.38,2.18,4.79,1.62,0.0,0.9458260644479088,18.11,16.21,8.76,38.38,10.44,1.14,1.74,18.47,20.39,2047780949,6.12,17.77,0.23,-44.29,65.23
NFLX,NFLX Solutions,Financial Services,Consumer Finance,Large Cap,NYSE,372.32,3659.24203007376,70.39,4.09,5.5,5.36,0.0,0.7604279321521662,26.31,32.98,10.38,58.74,10.76,2.79,2.11,14.96,17.22,9828217743,26.39,10.24,2.38,-22.28,71.43
AMZN,AMZN Brands,Financial Services,Banks,Large Cap,NYSE,462.41,4200.55251044364,63.98,3.53,5.17,7.1,0.0,0.8763777974978559,26.37,29.59,6.27,34.4,17.57,2.77,2.23,15.76,18.14,9084043404,18.89,10.23,1.65,-16.81,67.36
EBAY,EBAY Corp.,Consumer Cyclical,Luxury Goods,Large Cap,NYSE,87.12,508.96547880552004,14.27,2.25,6.51,1.82,0.0,1.1656516177828755,23.15,23.25,11.1,32.75,22.93,0.88,0.8,3.99,6.33,5842119821,-7.47,16.44,-0.58,-44.91,37.38
BA,BA Pharmaceuticals,Healthcare,Health Insurance,Large Cap,NASDAQ,184.39,2246.49606114775,99.16,3.36,2.92,6.32,0.0,1.1810350898936153,12.01,15.21,4.48,26.93,9.79,1.13,1.44,30.08,29.55,12183394225,5.68,13.64,0.27,-21.43,81.3
GE,GE Solutions,Energy,Oil & Gas Integrated,Large Cap,NYSE,399.57,1326.55776335133,28.14,,2.31,2.6,1.45,1.801195052688293,5.17,10.22,1.64,10.87,9.86,0.27,1.83,-0.3,-1.88,3319963369,-12.55,26.83,-0.54,-57.68,35.34
CAT,CAT Pharmaceuticals,Materials,Specialty Chemicals,Large Cap,NASDAQ,145.17,667.3431850597799,33.07,4.42,2.0,1.29,2.33,0.6035132013890204,3.93,10.56,1.68,5.13,11.98,1.02,1.28,7.12,7.49,4596977234,8.79,11.74,0.58,-18.49,59.78
MMM,MMM Energy,Communication Services,Wireless Communication,Large Cap,NASDAQ,204.0,1028.63736816,98.31,5.0,6.5,5.52,0.0,0.7323496190410299,16.58,21.89,6.89,35.3,15.01,0.22,1.96,9.14,11.38,5042340040,-3.17,9.99,-0.52,-25.87,62.23
HON,HON Systems,Consumer Cyclical,Apparel,Large Cap,NYSE,215.1,465.8359691187,24.69,4.44,1.16,1.94,0.0,1.8613551347481396,22.73,26.81,10.69,37.82,20.03,0.38,0.81,4.6,5.56,2165671637,1.45,32.77,-0.02,-59.87,50.51
UPS,UPS Holdings,Technology,Semiconductors,Large Cap,NYSE,185.7,2979.0360090837,17.53,1.45,2.62,8.1,0.0,2.1367582800349525,20.15,22.42,11.12,46.89,19.61,0.62,1.96,11.85,12.08,16042197141,-7.69,37.88,-0.26,-58.28,91.48
LMT,LMT Solutions,Healthcare,Life Sciences Tools,Large Cap,NYSE,141.55,1893.6224770724502,26.47,5.0,6.74,4.43,1.2,0.9279535280696967,26.05,23.44,11.89,33.46,24.51,0.58,1.74,2.17,5.06,13377763879,2.8,11.05,0.07,-23.49,75.42
RTX,RTX Holdings,Consumer Cyclical,Retail,Large Cap,NYSE,36.95,93.1218340651,29.12,1.96,2.92,1.36,0.0,1.68,10.71,14.48,3.33,11.5,8.61,0.7,1.54,14.34,14.88,2520212018,-1.92,22.06,-0.18,-52.93,44.1
DE,DE Pharmaceuticals,Technology,Consumer Electronics,Large Cap,NYSE,509.54,1197.8093713325,34.91,0.91,5.99,1.51,1.44,1.958302526474231,27.07,25.46,11.27,29.93,26.97,0.23,3.57,35.58,38.27,2350766125,12.26,31.01,0.33,-85.47,89.25
FDX,FDX Technologies,Energy,Oil & Gas E&P,Large Cap,NYSE,349.14,1862.7066353082,,,4.29,6.02,2.35,1.6146511032872937,19.18,24.49,7.97,25.65,6.92,0.23,2.46,7.5,4.81,5335128130,12.89,27.38,0.4,-64.88,41.77
UNP,UNP Technologies,Financial Services,Investment Banking,Large Cap,NYSE,153.72,801.64052883936,25.73,1.43,8.77,7.11,0.0,0.8728100972140792,37.02,43.21,17.18,85.35,9.78,1.47,1.15,15.35,17.99,5214939688,14.49,10.33,1.21,-19.5,64.37
EMR,EMR Holdings,Financial Services,Payment Processing,Large Cap,NYSE,130.52,1036.6185661468,49.36,5.0,4.13,9.49,3.92,1.4117107615869462,14.91,15.22,6.26,25.8,13.69,2.97,1.55,3.38,1.65,7942220090,-0.2,23.95,-0.09,-60.76,65.4
ETN,ETN Holdings,Utilities,Water Utilities,Large Cap,NASDAQ,286.96,958.13418063296,36.27,2.21,5.27,4.95,1.08,0.42855326835508056,25.08,32.04,10.51,60.35,18.48,1.41,1.51,17.75,16.39,3338911976,-5.23,8.16,-0.89,-14.19,75.86
ITW,ITW Brands,Consumer Cyclical,E-Commerce,Large Cap,NYSE,249.91,343.80399273957,22.67,5.0,6.78,1.5,4.78,1.9810452640010054,11.96,16.33,5.72,28.3,13.81,1.44,1.59,0.91,2.07,1375711227,-0.87,30.55,-0.09,-85.21,55.45
CMI,CMI Corp.,Financial Services,Banks,Large Cap,NASDAQ,102.63,184.32817316727,27.1,2.28,8.51,4.46,1.9,0.7089510618953031,17.97,15.62,4.77,19.51,10.86,2.74,1.13,9.84,11.89,1796045729,17.83,9.8,1.62,-21.41,57.2
XOM,XOM Brands,Industrial,Engineering,Large Cap,NYSE,423.68,2833.62168213888,-40.37,,4.19,1.02,2.21,0.6737125400956627,8.11,11.08,3.44,13.27,9.76,0.68,1.15,-3.0,-1.47,6688117641,6.37,10.36,0.42,-29.93,59.26
CVX,CVX Brands,Energy,Coal,Large Cap,NASDAQ,129.18,337.65384787656,-42.23,,5.98,1.05,4.19,0.9652126723829036,14.3,12.08,4.0,31.63,23.39,0.64,0.88,-6.31,-3.66,2613824492,8.01,15.33,0.39,-41.6,40.02
COP,COP Corp.,Financial Services,Financial Data,Large Cap,NYSE,140.45,472.5544396484,76.21,2.79,2.48,5.97,1.15,0.7697374384534624,15.85,13.88,4.34,30.49,15.82,2.36,1.04,25.92,27.33,3364574152,0.21,8.15,-0.22,-16.98,84.56
SLB,SLB Holdings,Technology,Software,Large Cap,NYSE,764.1,12539.703184589702,27.75,1.77,4.72,5.36,0.0,0.9345561047197815,29.68,27.35,13.04,70.69,11.51,0.24,3.22,17.43,15.7,16411076017,21.87,16.94,1.17,-41.27,60.02
EOG,EOG Brands,Communication Services,Publishing,Large Cap,NYSE,216.39,146.49280362509998,75.22,3.94,6.07,9.37,0.0,1.5250974863453637,22.65,26.58,9.06,25.99,6.15,1.5,1.06,20.2,19.08,676985090,7.31,16.64,0.32,-35.89,60.21
PSX,PSX Holdings,Technology,Cybersecurity,Large Cap,NYSE,587.22,6421.238998467061,44.48,1.29,2.11,5.62,0.0,1.3166188936885175,30.69,30.74,13.25,72.53,21.41,0.5,2.72,32.38,34.4,10934980073,6.33,20.4,0.21,-36.05,68.54
MPC,MPC Corp.,Healthcare,Biotechnology,Large Cap,NASDAQ,396.24,2718.67409039304,-30.53,,3.29,4.36,2.39,1.278766239774145,19.98,25.86,11.54,25.22,22.52,0.11,1.74,-5.03,-5.58,6861180321,22.02,21.74,0.92,-59.76,94.1
OXY,OXY Brands,Utilities,Renewable Utilities,Large Cap,NASDAQ,37.9,243.055268483,-10.58,,1.63,6.84,3.94,0.5593554221341678,16.39,18.97,8.74,21.29,12.0,1.3,1.32,-3.23,-0.49,6413067770,8.68,7.34,0.91,-20.09,71.55
KMI,KMI Holdings,Financial Services,Mortgage Finance,Large Cap,NYSE,525.33,1129.48471794132,14.0,2.68,3.62,3.17,1.07,1.463089558799742,14.01,11.95,5.14,34.77,16.13,2.12,1.1,5.62,5.22,2150048004,2.9,17.76,0.05,-44.61,50.24
VLO,VLO Holdings,Technology,Hardware,Large Cap,NYSE,656.82,4396.275440496001,94.69,4.35,1.33,8.09,0.42,2.2002281022196133,40.43,48.04,21.3,77.23,15.83,0.99,2.6,18.97,21.76,6693272800,9.12,27.33,0.26,-41.17,62.41
NEE,NEE Energy,Consumer Defensive,Tobacco,Large Cap,NYSE,43.15,287.7364382893,16.86,1.58,6.72,1.66,1.18,0.6010214989342383,12.04,15.35,7.1,21.15,6.39,0.59,1.8,12.71,10.69,6668283622,18.05,10.42,1.54,-28.19,64.23
DUK,DUK Pharmaceuticals,Technology,Cloud Computing,Large Cap,NYSE,350.66,5231.17242075408,39.4,0.96,7.62,6.18,0.0,1.1768666144016802,34.82,31.98,12.66,79.69,23.47,0.78,3.41,38.36,40.95,14918075688,-3.0,22.23,-0.22,-48.66,78.78
SO,SO Energy,Healthcare,Pharmaceuticals,Large Cap,NASDAQ,467.02,570.60602281326,56.16,2.86,4.62,4.65,0.0,1.5622421729388238,38.93,45.36,22.62,79.07,15.95,1.28,3.36,19.43,19.66,1221802113,6.21,23.73,0.18,-44.19,72.4
D,D Technologies,Industrial,Industrial Distribution,Large Cap,NASDAQ,108.03,396.79275384918,,,2.31,7.12,0.0,0.8598100227797961,11.59,10.72,4.23,15.84,6.78,0.32,1.24,20.03,20.77,3672986706,26.39,10.03,2.43,-19.41,37.09
AEP,AEP Inc.,Financial Services,Investment Banking,Large Cap,NYSE,235.69,779.7695025192801,35.08,1.98,8.0,1.67,0.0,1.005633580615364,20.46,18.89,7.1,49.02,27.04,1.43,1.53,16.59,17.75,3308453912,-7.56,17.8,-0.54,-34.59,58.89
EXC,EXC Brands,Consumer Cyclical,Hotels,Large Cap,NYSE,283.15,1974.4908404378498,37.37,5.0,2.16,6.28,0.0,1.5842793166493392,20.46,23.59,10.08,36.14,23.96,0.2,1.8,3.58,4.8,6973303339,3.78,26.86,0.07,-80.31,58.11
XEL,XEL Energy,Healthcare,Biotechnology,Large Cap,NYSE,481.29,3842.40234730158,,,7.78,7.41,3.38,1.4362310115234862,-35.12,-52.33,-9.34,-73.48,20.55,1.36,2.06,-0.97,-1.23,7983549102,8.32,24.32,0.26,-37.38,85.48
WEC,WEC Group,Consumer Cyclical,Luxury Goods,Large Cap,NASDAQ,327.9,327.3961954218,39.23,4.04,4.34,7.98,0.0,1.7538267883124736,10.96,10.35,3.86,25.68,25.42,1.15,1.0,9.52,9.71,998463542,-11.86,22.53,-0.62,-45.55,66.89
ES,ES Energy,Materials,Specialty Chemicals,Large Cap,NYSE,97.6,598.6840550416,60.71,3.72,9.03,11.59,1.41,0.6799155321900434,18.07,16.78,10.53,29.45,24.91,0.5,1.3,17.51,16.33,6134057941,-12.47,11.39,-1.27,-27.82,32.6
PEG,PEG Systems,Consumer Defensive,Discount Stores,Large Cap,NYSE,387.87,3863.45030216334,91.2,4.82,6.46,7.3,4.62,0.6066714778514106,11.75,17.42,7.01,13.13,23.9,0.7,1.65,21.01,18.94,9960683482,30.34,9.58,2.96,-25.15,61.61
CMCSA,CMCSA Inc.,Financial Services,Investment Banking,Large Cap,NYSE,234.24,1199.95507799808,22.98,5.0,5.82,1.27,1.18,1.5264036474685898,21.47,26.75,4.7,43.36,14.49,1.76,2.5,2.86,0.77,5122759042,11.31,16.74,0.56,-36.24,73.39
VZ,VZ Pharmaceuticals,Materials,Agricultural Chemicals,Large Cap,NASDAQ,17.89,124.78022634715,35.62,4.11,2.15,9.75,0.6,0.9678544137869995,9.86,17.77,5.14,21.67,16.63,0.77,1.11,9.56,8.67,6974858935,-2.59,16.73,-0.27,-49.41,48.44
